celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,elimination_week,observed_elimination,active,judge_count,judge_total,judge_mean
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,1,2.0,False,True,3,23.0,7.666666666666667
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,1,1.0,True,True,3,13.0,4.333333333333333
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,2,,False,True,3,27.0,9.0
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,2,,False,True,3,23.0,7.666666666666667
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,2,,False,True,3,29.0,9.666666666666666
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,2,7.0,False,True,3,20.0,6.666666666666667
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,2,6.0,False,True,3,22.0,7.333333333333333
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,2,5.0,False,True,3,22.0,7.333333333333333
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,2,4.0,False,True,3,16.0,5.333333333333333
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,2,3.0,False,True,3,24.0,8.0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,2,2.0,True,True,3,17.0,5.666666666666667
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,2,1.0,False,False,3,0.0,0.0
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,3,,False,True,3,27.0,9.0
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,3,,False,True,3,19.0,6.333333333333333
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,3,,False,True,3,27.0,9.0
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,3,7.0,False,True,3,25.0,8.333333333333334
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,3,6.0,False,True,3,22.0,7.333333333333333
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,3,5.0,False,True,3,26.0,8.666666666666666
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,3,4.0,False,True,3,14.0,4.666666666666667
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,3,3.0,True,True,3,22.0,7.333333333333333
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,3,2.0,False,False,3,0.0,0.0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,3,1.0,False,False,3,0.0,0.0
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,4,,False,True,3,28.0,9.333333333333334
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,4,,False,True,3,24.0,8.0
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,4,,False,True,3,26.0,8.666666666666666
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,4,7.0,False,True,3,26.0,8.666666666666666
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,4,6.0,False,True,3,21.0,7.0
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,4,5.0,False,True,3,25.0,8.333333333333334
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,4.0,True,True,3,8.0,2.6666666666666665
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,4,3.0,False,False,3,0.0,0.0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,4,2.0,False,False,3,0.0,0.0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4,1.0,False,False,3,0.0,0.0
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,5,,False,True,3,27.0,9.0
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,5,,False,True,3,23.0,7.666666666666667
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,5,,False,True,3,30.0,10.0
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5,7.0,False,True,3,25.0,8.333333333333334
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,5,6.0,False,True,3,24.0,8.0
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5,5.0,True,True,3,22.0,7.333333333333333
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,5,4.0,False,False,3,0.0,0.0
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,5,3.0,False,False,3,0.0,0.0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,5,2.0,False,False,3,0.0,0.0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,5,1.0,False,False,3,0.0,0.0
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,6,,False,True,3,30.0,10.0
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,6,,False,True,3,23.0,7.666666666666667
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,6,,False,True,3,30.0,10.0
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,6,7.0,False,True,3,27.0,9.0
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,6.0,True,True,3,23.0,7.666666666666667
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6,5.0,False,False,3,0.0,0.0
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,6,4.0,False,False,3,0.0,0.0
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,6,3.0,False,False,3,0.0,0.0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,6,2.0,False,False,3,0.0,0.0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,6,1.0,False,False,3,0.0,0.0
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,7,,False,True,3,27.5,9.166666666666666
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7,,False,True,3,20.5,6.833333333333333
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,7,,False,True,3,27.5,9.166666666666666
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,7.0,True,True,3,26.5,8.833333333333334
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7,6.0,False,False,3,0.0,0.0
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,7,5.0,False,False,3,0.0,0.0
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,7,4.0,False,False,3,0.0,0.0
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7,3.0,False,False,3,0.0,0.0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7,2.0,False,False,3,0.0,0.0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,7,1.0,False,False,3,0.0,0.0
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8,,False,True,3,28.9998,9.6666
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,8,,False,True,3,26.666600000000003,8.888866666666667
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8,,False,True,3,28.6665,9.5555
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,8,7.0,False,False,3,0.0,0.0
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,8,6.0,False,False,3,0.0,0.0
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,8,5.0,False,False,3,0.0,0.0
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,8,4.0,False,False,3,0.0,0.0
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,8,3.0,False,False,3,0.0,0.0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,8,2.0,False,False,3,0.0,0.0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,8,1.0,False,False,3,0.0,0.0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,1,,False,True,3,24.0,8.0
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,1,,False,True,3,26.0,8.666666666666666
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,1,,False,True,3,21.0,7.0
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,1,8.0,False,True,3,19.0,6.333333333333333
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,1,7.0,False,True,3,16.0,5.333333333333333
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,1,,False,True,3,15.0,5.0
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,1,5.0,False,True,3,22.0,7.333333333333333
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,1,4.0,False,True,3,22.0,7.333333333333333
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,1,3.0,False,True,3,17.0,5.666666666666667
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,1,2.0,False,True,3,18.0,6.0
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,1,1.0,True,True,3,12.0,4.0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,2,,False,True,3,24.0,8.0
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,2,,False,True,3,21.0,7.0
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,2,,False,True,3,29.0,9.666666666666666
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,2,8.0,False,True,3,26.0,8.666666666666666
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,2,7.0,False,True,3,19.0,6.333333333333333
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,2,,False,True,3,21.0,7.0
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,2,5.0,False,True,3,23.0,7.666666666666667
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,2,4.0,False,True,3,24.0,8.0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,2,3.0,False,True,3,21.0,7.0
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,2,2.0,True,True,3,22.0,7.333333333333333
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,2,1.0,False,False,3,0.0,0.0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,3,,False,True,3,19.0,6.333333333333333
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,3,,False,True,3,22.0,7.333333333333333
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,3,,False,True,3,22.0,7.333333333333333
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,3,8.0,False,True,3,27.0,9.0
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,3,7.0,False,True,3,21.0,7.0
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,3,,False,True,3,25.0,8.333333333333334
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,3,5.0,False,True,3,22.0,7.333333333333333
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,3,4.0,False,True,3,27.0,9.0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,3,3.0,True,True,3,22.0,7.333333333333333
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,3,2.0,False,False,3,0.0,0.0
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,3,1.0,False,False,3,0.0,0.0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,4,,False,True,3,24.0,8.0
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,4,,False,True,3,29.0,9.666666666666666
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,4,,False,True,3,27.0,9.0
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,4,8.0,False,True,3,24.0,8.0
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,4,7.0,False,True,3,22.0,7.333333333333333
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,4,,False,True,3,20.0,6.666666666666667
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,4,5.0,False,True,3,28.0,9.333333333333334
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,4,4.0,True,True,3,24.0,8.0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,4,3.0,False,False,3,0.0,0.0
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,4,2.0,False,False,3,0.0,0.0
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,4,1.0,False,False,3,0.0,0.0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,5,,False,True,3,27.0,9.0
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,5,,False,True,3,27.0,9.0
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,5,,False,True,3,25.0,8.333333333333334
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,5,8.0,False,True,3,27.0,9.0
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5,7.0,False,True,3,24.0,8.0
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5,,False,True,3,24.0,8.0
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,5,5.0,True,True,3,27.0,9.0
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,5,4.0,False,False,3,0.0,0.0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5,3.0,False,False,3,0.0,0.0
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,5,2.0,False,False,3,0.0,0.0
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5,1.0,False,False,3,0.0,0.0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,6,,False,True,3,25.0,8.333333333333334
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,6,,False,True,3,28.0,9.333333333333334
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,6,,False,True,3,24.0,8.0
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6,8.0,False,True,3,23.0,7.666666666666667
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,6,7.0,False,True,3,18.0,6.0
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,6,,False,False,3,0.0,0.0
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,6,5.0,False,False,3,0.0,0.0
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6,4.0,False,False,3,0.0,0.0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,6,3.0,False,False,3,0.0,0.0
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,6,2.0,False,False,3,0.0,0.0
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,6,1.0,False,False,3,0.0,0.0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,7,,False,True,3,28.5,9.5
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,7,,False,True,3,28.0,9.333333333333334
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7,,False,True,3,28.5,9.5
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,7,8.0,False,True,3,27.0,9.0
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,7,7.0,True,True,3,23.0,7.666666666666667
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,7,,False,False,3,0.0,0.0
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7,5.0,False,False,3,0.0,0.0
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,7,4.0,False,False,3,0.0,0.0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,7,3.0,False,False,3,0.0,0.0
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7,2.0,False,False,3,0.0,0.0
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,7,1.0,False,False,3,0.0,0.0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8,,False,True,3,27.0,9.0
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,8,,False,True,3,28.5,9.5
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,8,,False,True,3,27.0,9.0
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,8,8.0,True,True,3,26.5,8.833333333333334
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,8,7.0,False,False,3,0.0,0.0
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,8,,False,False,3,0.0,0.0
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,8,5.0,False,False,3,0.0,0.0
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,8,4.0,False,False,3,0.0,0.0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,8,3.0,False,False,3,0.0,0.0
